----------------------------------------------------------
-------------------Start of evolution---------------------
----------------------------------------------------------
Description:
    Function: parabaloid
    Dim size: 2
    Obj Size: 1
Variables:
    Mutation: mutGaussian
    Selection: selTournament
    Mean: 0
    Std Dev: 0.5
    Indpb Mutation: 0.05
    Population Size: 200
    Generations: 400
    CXPB, MUTPB: 0.5, 0.2
    Selection tournsize: 3
[[ 0.22444174  0.14020529]],(-0.070031617970174029,)
[[ 0.04101832  0.24169406]],(-0.060098519870554305,)
[[ 0.08622013  0.0033727 ]],(-0.0074452862198382099,)
[[ 0.06260926  0.22609085]],(-0.055036991380092715,)
[[ 0.6361447   0.22609085]],(-0.45579715146043287,)
[[ 0.44261404  0.37347596]],(-0.33539148218733389,)
[[ 0.25392013  0.37347596]],(-0.203959726792937,)
[[ 0.27423184  0.16765094]],(-0.1033099417071785,)
[[ 0.03940692  0.16765094]],(-0.029659742080395991,)
[[ 0.04707386  0.02263275]],(-0.0027281895500630422,)
[[ 0.1424512   0.43809588]],(-0.21222034634535777,)
[[ 0.12625945  0.14020529]],(-0.035598972717574895,)
[[ 0.22444174  0.14020529]],(-0.070031617970174029,)
[[ 0.42642857  0.02352601]],(-0.18239479986207702,)
[[ 0.44261404  0.02352601]],(-0.19646066160256784,)
[[ 0.08622013  0.0033727 ]],(-0.0074452862198382099,)
[[ 0.04707386  0.10754077]],(-0.013780965579513353,)
[[ 0.07826414  0.10754077]],(-0.017690292779480605,)
[[ 0.31333736  0.17988495]],(-0.13053889543515271,)
[[ 0.27307651  0.17988495]],(-0.10692937116143136,)
[[ 0.15133761  0.05040274]],(-0.025443506987421455,)
[[ 0.03940692  0.05040274]],(-0.004093341413362532,)
[[ 0.42994695  0.09696807]],(-0.1942571874385281,)
[[ 0.24138248  0.09696807]],(-0.067668307140525186,)
[[ 0.23151809  0.10155764]],(-0.06391457756446825,)
[[ 0.32556019  0.10155764]],(-0.11630339084914391,)
[[ 0.04707386  0.08989381]],(-0.010296845478955739,)
[[ 0.38748181  0.08989381]],(-0.15822305340764051,)
[[ 0.00715383  0.05867174]],(-0.0034935498174038441,)
[[ 0.42994695  0.05867174]],(-0.18829675330492557,)
[[ 0.08622013  0.05040274]],(-0.0099743474053597455,)
[[ 0.03940692  0.05040274]],(-0.004093341413362532,)
[[ 0.03940692  0.03074515]],(-0.0024981690943454782,)
[[ 0.19429862  0.03074515]],(-0.038697217618447077,)
[[ 0.07940994  0.23410474]],(-0.06111096741242112,)
[[ 0.24138248  0.09696807]],(-0.067668307140525186,)
[[ 0.00715383  0.2750311 ]],(-0.075693283082247029,)
[[ 0.10394851  0.2750311 ]],(-0.086447398428341482,)
[[ 0.6361447   0.03074515]],(-0.40562534312118781,)
[[ 0.19429862  0.03074515]],(-0.038697217618447077,)
[[ 0.00715383  0.37252789]],(-0.13882820729367212,)
[[ 0.6188997   0.37252789]],(-0.52181386545511776,)
[[ 0.07940994  0.1458412 ]],(-0.027575594770054973,)
[[ 0.15133761  0.09696807]],(-0.032305877438407044,)
[[ 0.24138248  0.09696807]],(-0.067668307140525186,)
[[ 0.20608795  0.09894443]],(-0.052262241947870935,)
[[ 0.03566997  0.09894443]],(-0.011062346529817874,)
[[ 0.04707386  0.02263275]],(-0.0027281895500630422,)
[[ 0.12625945  0.02263275]],(-0.016453690267365813,)
[[ 0.04707386  0.02263275]],(-0.0027281895500630422,)
[[ 0.42994695  0.29485946]],(-0.27179648245450061,)
[[ 0.31333736  0.29485946]],(-0.18512240366439922,)
[[ 0.19429862  0.24635874]],(-0.098444583618215772,)
[[ 0.4349807   0.24635874]],(-0.24990083697364249,)
[[ 0.13857098  0.2750311 ]],(-0.094844021823585117,)
[[ 0.10394851  0.2750311 ]],(-0.086447398428341482,)
[[ 0.13857098  0.24635874]],(-0.07989454592211051,)
[[ 0.1424512   0.24635874]],(-0.080984975364366288,)
[[ 0.46893348  0.09696807]],(-0.22930141472277166,)
[[ 0.24138248  0.09696807]],(-0.067668307140525186,)
[[ 0.04707386  0.65847143]],(-0.43580056905169778,)
[[ 0.25277001  0.65847143]],(-0.49747729922947082,)
[[ 0.19429862  0.40200887]],(-0.199363084536609,)
[[ 0.00909103  0.40200887]],(-0.16169377774442614,)
[[ 0.37582037  0.1458412 ]],(-0.16251060456340863,)
[[ 0.0087047  0.1458412]],(-0.021345427867916992,)
[[ 0.6188997   0.10155764]],(-0.39335078874188056,)
[[ 0.32556019  0.10155764]],(-0.11630339084914391,)
[[ 0.03940692  0.02263275]],(-0.002065146363139249,)
[[ 0.04707386  0.02263275]],(-0.0027281895500630422,)
[[ 0.04101832  0.01798798]],(-0.0020060699149269849,)
